"MANICALAND PROVINCE :2018 HARMONISED PRESIDENTIAL ELECTION RESULTS:30 JULY  2018 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,POLLING STATION CODE,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
national Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Mutare,Mutare Central,Mutare Municipality,5,Dangare B Primary School,7501MUM0504,1,387,0,0,0,0,1,1,0,0,0,0,0,0,129,0,1,1,2,0,0,0,0,4,0,527,523
Mutare,Mutare Central,Mutare Municipality,5,Mwamuka Business Centre Tent A,7501MUM0505 A,0,404,0,1,0,0,0,1,1,0,0,0,0,0,91,2,0,1,1,0,0,0,0,3,0,505,502
Mutare,Mutare Central,Mutare Municipality,5,Mwamuka Business Centre Tent B,7501MUM0505 B,0,387,0,0,0,0,0,2,2,0,0,0,0,0,108,0,0,0,0,0,0,0,0,2,0,501,499
,,,,8 POLLING STATIONS,WARD TOTAL,3,2979,0,2,0,0,4,8,6,0,0,0,0,0,858,2,1,3,16,0,0,0,1,25,1,3908,3883
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare Central,Mutare Municipality,10,Chiefs Hall,7501MUM1001,1,350,1,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,2,0,0,0,0,9,0,522,513
Mutare,Mutare Central,Mutare Municipality,10,Meikles Park Tent,7501MUM1002,1,500,1,0,0,0,0,3,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,7,0,709,702
Mutare,Mutare Central,Mutare Municipality,10,Moffat Hall,7501MUM1003,0,380,0,0,1,0,0,2,0,0,0,0,0,0,105,0,0,1,1,0,0,1,0,6,0,497,491
Mutare,Mutare Central,Mutare Municipality,10,Mutare Rural District Council,7501MUM1004,0,151,1,1,0,0,1,0,0,0,1,0,0,0,74,0,0,0,1,0,0,0,0,0,0,230,230
,,,,4 POLLING STATIONS,WARD TOTAL,2,1381,3,1,1,0,1,5,0,0,1,0,0,0,535,0,0,1,4,0,0,1,0,22,0,1958,1936
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,                MUTARE CENTRAL CONSTITUENCY TOTALS,,,27,13988,17,4,4,4,24,54,21,4,1,3,2,3,4370,18,4,19,46,2,7,2,3,212,1,18839,18627
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare North,Mutare RDC,1,Chimwanda Primary School,7500MTR0101,0,20,0,0,0,1,0,0,0,0,0,0,0,0,89,1,0,0,0,0,0,0,0,0,0,111,111
Mutare,Mutare North,Mutare RDC,1,Claire Primary School,7500MTR0102,2,249,4,0,0,2,1,5,0,0,1,0,0,3,405,3,4,1,0,3,0,0,0,9,0,692,683
Mutare,Mutare North,Mutare RDC,1,Gazala Farm Extension Tent,7500MTR0103,0,30,0,0,0,2,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,1,3,0,239,236
Mutare,Mutare North,Mutare RDC,1,Jechera Primary School,7500MTR0104,4,218,3,0,0,0,0,2,1,0,0,0,0,0,335,3,1,0,3,1,0,0,0,9,0,580,571
Mutare,Mutare North,Mutare RDC,1,Leighranch Primary School,7500MTR0105,1,100,1,0,0,0,0,0,0,0,0,0,0,0,231,1,0,2,1,1,0,0,1,3,0,342,339
Mutare,Mutare North,Mutare RDC,1,Nyamajura Primary School,7500MTR0106,2,279,2,1,0,0,0,4,0,0,0,0,1,0,301,2,1,0,0,0,0,0,0,12,0,605,593
Mutare,Mutare North,Mutare RDC,1,Nyamatsine Primary School,7500MTR0107,0,116,2,0,0,2,1,1,0,1,0,0,1,0,219,2,0,1,2,0,1,1,0,6,0,356,350
Mutare,Mutare North,Mutare RDC,1,Chipembere Business Tent,7500MTR0108,2,132,2,3,4,1,1,0,0,0,0,0,0,0,377,2,0,3,0,0,0,0,0,7,0,534,527
Mutare,Mutare North,Mutare RDC,1,Zaahoek Farm Tent,7500MTR0109,1,47,0,0,0,0,0,3,0,0,0,0,0,0,74,2,0,1,0,0,0,0,0,10,0,138,128
Mutare,Mutare North,Mutare RDC,1,Batanai Primary School,7500MTR0110,3,131,1,1,0,0,1,0,1,0,0,0,0,1,255,0,0,0,0,0,0,0,0,3,0,397,394
Mutare,Mutare North,Mutare RDC,1,Chimbudzi Farm Tent,7500MTR0111,1,75,0,0,0,1,0,0,0,0,0,0,0,0,264,0,0,0,0,1,0,1,0,5,0,348,343
,,,,11 POLLING STATIONS,WARD TOTAL,16,1397,15,5,4,9,4,15,2,1,1,0,2,4,2753,16,6,8,6,6,1,2,2,67,0,4342,4275
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare North,Mutare RDC,2,MT Zonwe Primary School A,7500MTR0201 A,4,58,6,1,0,1,2,2,0,2,0,0,0,2,382,1,0,2,1,6,0,4,4,9,0,487,478
Mutare,Mutare North,Mutare RDC,2,MT Zonwe Primary School B,7500MTR0201 B,2,63,0,0,0,3,2,4,0,0,0,1,0,0,387,0,1,1,0,4,1,1,2,7,0,479,472
Mutare,Mutare North,Mutare RDC,2,Mt Zuma Primary School A,7500MTR0202 A,4,118,2,1,2,2,5,2,1,0,0,1,0,2,365,1,3,0,2,1,2,1,2,16,0,533,517
Mutare,Mutare North,Mutare RDC,2,Mt Zuma Primary School B,7500MTR0202 B,1,138,3,0,0,1,2,4,0,1,0,0,0,1,386,1,0,2,0,1,0,1,3,8,0,553,545
Mutare,Mutare North,Mutare RDC,2,Danny Business Centre Tent,7500MTR0203,9,129,0,0,0,4,2,0,0,2,0,1,0,0,458,1,1,1,1,2,2,0,0,24,0,637,613
Mutare,Mutare North,Mutare RDC,2,Rukariro Health Centre Tent,7500MTR0204,2,151,0,1,0,4,0,7,1,0,0,0,0,2,193,0,0,0,2,0,3,0,0,8,0,374,366
,,,,6 POLLING STATIONS,WARD TOTAL,22,657,11,3,2,15,13,19,2,5,0,3,0,7,2171,4,5,6,6,14,8,7,11,72,0,3063,2991
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare North,Mutare RDC,3,ARDA Transal Primary School A,7500MTR0301 A,0,210,1,0,0,1,1,2,0,0,0,0,0,0,536,2,0,2,1,1,1,0,0,6,0,764,758
Mutare,Mutare North,Mutare RDC,3,ARDA Transal Primary School B,7500MTR0301 B,0,227,1,0,1,2,0,2,0,0,0,0,0,0,524,0,0,0,1,0,0,0,1,18,0,777,759
Mutare,Mutare North,Mutare RDC,3,Gandidzanwa Primary School,7500MTR0302,4,124,2,1,0,1,2,4,0,0,1,0,0,1,394,2,2,1,0,1,1,0,1,12,0,554,542
Mutare,Mutare North,Mutare RDC,3,Lorn Primary School,7500MTR0303,2,128,3,0,0,2,1,2,0,1,0,0,1,2,439,2,0,1,2,2,1,2,1,5,0,597,592
Mutare,Mutare North,Mutare RDC,3,Riverside Business Centre Tent,7500MTR0304,1,50,1,0,0,0,2,0,0,0,0,0,0,0,287,0,0,0,0,1,0,0,0,12,0,354,342
Mutare,Mutare North,Mutare RDC,3,St Francis  Primary School A,7500MTR0305 A,4,88,0,0,1,0,1,2,0,0,0,0,1,1,359,0,0,0,1,0,0,0,1,5,0,464,459
Mutare,Mutare North,Mutare RDC,3,St Francis  Primary School B,7500MTR0305 B,2,96,0,0,0,2,0,2,0,0,0,0,0,0,350,0,0,1,0,0,1,0,1,7,0,462,455
Mutare,Mutare North,Mutare RDC,3,St Johns Glenada Primary School,7500MTR0306,0,42,2,0,0,1,0,1,0,0,0,0,0,0,214,0,1,1,1,0,0,1,0,6,0,270,264
Mutare,Mutare North,Mutare RDC,3,Takunda  Primary School,7500MTR0307,1,169,1,0,0,2,1,2,0,1,0,3,0,0,635,2,4,1,1,1,4,2,1,17,0,848,831
Mutare,Mutare North,Mutare RDC,3,Wellington Primary School,7500MTR0308,0,256,0,0,0,0,2,3,0,0,0,0,0,0,247,0,0,1,0,0,1,0,1,3,0,514,511
,,,,10 POLLING STATIONS,WARD TOTAL,14,1390,11,1,2,11,10,20,0,2,1,3,2,4,3985,8,7,8,7,6,9,5,7,91,0,5604,5513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare North,Mutare RDC,4,Chipfatsura Primary School,7500MTR0401,1,249,3,0,0,1,1,20,0,0,0,0,0,1,304,2,0,1,1,1,1,1,3,9,0,599,590
Mutare,Mutare North,Mutare RDC,4,Nyika Primary School,7500MTR0402,1,147,2,0,0,0,0,5,0,0,1,1,0,0,86,3,0,0,0,1,0,1,2,7,0,257,250
Mutare,Mutare North,Mutare RDC,4,Zhawari Primary School,7500MTR0403,1,319,1,0,0,1,1,6,0,0,1,0,0,0,241,1,0,1,2,2,0,0,2,2,0,581,579
,,,,3 POLLING STATIONS,WARD TOTAL,3,715,6,0,0,2,2,31,0,0,2,1,0,1,631,6,0,2,3,4,1,2,7,18,0,1437,1419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare North,Mutare RDC,5,Bvirindi Business Centre Tent,7500MTR0501,7,467,1,1,2,4,9,16,1,0,1,0,1,0,318,7,1,2,0,3,2,0,0,10,0,853,843
Mutare,Mutare North,Mutare RDC,5,Dora Secondary School,7500MTR0502,3,246,2,0,1,0,2,3,0,0,0,0,0,0,170,1,0,2,0,0,0,1,1,10,0,442,432
Mutare,Mutare North,Mutare RDC,5,Kambarami business Centre Tent,7500MTR0503,1,112,2,0,0,0,3,3,0,0,0,0,0,0,38,4,0,0,1,2,0,1,0,4,0,171,167
Mutare,Mutare North,Mutare RDC,5,Matika Primary School,7500MTR0504,3,299,1,0,0,4,13,6,0,0,0,0,0,1,302,3,1,0,0,3,0,0,0,11,0,647,636
,,,,4 POLLING STATIONS,WARD TOTAL,14,1124,6,1,3,8,27,28,1,0,1,0,1,1,828,15,2,4,1,8,2,2,1,35,0,2113,2078
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare North,Mutare RDC,8,Chinamuchese Primary School,7500MTR0801,1,42,1,0,1,2,0,0,0,0,0,1,0,0,137,0,0,0,0,0,0,0,0,4,0,189,185
,Mutare North,Mutare RDC,8,Mukuni North Primary School,7500MTR0802,3,156,0,0,0,0,0,1,0,0,0,0,0,0,82,0,0,0,0,0,0,0,1,2,0,245,243
Mutare,Mutare North,Mutare RDC,8,Mukuni South Primary School,7500MTR0803,0,80,0,0,0,0,0,1,0,0,0,0,0,1,130,0,0,0,0,0,0,0,0,1,0,213,212
Mutare,Mutare North,Mutare RDC,8,Zumbare Primary School,7500MTR0804,0,104,0,0,0,0,0,0,0,0,0,0,0,0,71,1,0,1,0,0,0,0,0,2,0,179,177
,,,,4 POLLING STATIONS,WARD TOTAL,4,382,1,0,1,2,0,2,0,0,0,1,0,1,420,1,0,1,0,0,0,0,1,9,0,826,817
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare North,Mutare RDC,9,Chirinda Primary School,7500MTR0901,4,393,3,0,3,2,1,12,0,0,1,0,2,0,323,4,0,1,9,2,1,2,0,22,0,785,763
Mutare,Mutare North,Mutare RDC,9,Gonon'ono Primary School,7500MTR0902,2,154,1,0,1,1,0,6,0,0,0,0,0,0,154,1,0,0,1,1,0,0,0,19,0,341,322
Mutare,Mutare North,Mutare RDC,9,Gwindingwi Primary School,7500MTR0903,2,185,1,0,0,2,0,10,2,1,0,0,0,0,153,3,1,4,1,5,0,1,2,0,0,373,373
Mutare,Mutare North,Mutare RDC,9,Musharu Primary School,7500MTR0904,4,179,0,0,0,1,0,4,0,0,0,0,0,1,149,2,0,0,4,2,0,0,0,4,0,350,346
,,,,4 POLLING STATIONS,WARD TOTAL,12,911,5,0,4,6,1,32,2,1,1,0,2,1,779,10,1,5,15,10,1,3,2,45,0,1849,1804
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare North,Mutare RDC,11,Chegore Primary School,7500MTR1101,4,160,0,0,1,4,0,8,1,0,0,0,0,0,180,0,1,0,1,0,1,0,1,4,0,366,362
Mutare,Mutare North,Mutare RDC,11,Masase Business Centre Tent,7500MTR1103,2,191,0,1,0,0,0,4,0,1,0,0,0,0,198,0,0,1,1,0,0,1,1,7,1,408,401
Mutare,Mutare North,Mutare RDC,11,Mushunje Primary School,7500MTR1104,6,204,3,0,0,0,1,10,1,0,1,0,0,2,253,1,0,1,3,1,0,2,0,13,0,502,489
Mutare,Mutare North,Mutare RDC,11,Musiringofa Primary School,7500MTR1105,4,140,0,0,0,3,2,9,0,0,0,0,0,0,378,3,1,1,1,3,0,1,0,10,0,556,546
Mutare,Mutare North,Mutare RDC,11,Wendumba Primary School,7500MTR1106,2,113,1,0,2,2,1,4,0,0,0,0,0,1,171,0,1,1,1,0,0,1,1,5,0,307,302
Mutare,Mutare North,Mutare RDC,11,Wendumba  Secondary School,7500MTR1107,1,111,1,0,0,1,0,3,0,0,0,0,0,0,146,2,0,1,1,1,0,0,0,9,0,277,268
,,,,6  POLLING STATIONS,WARD TOTAL,19,919,5,1,3,10,4,38,2,1,1,0,0,3,1326,6,3,5,8,5,1,5,3,48,1,2416,2368
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare North,Mutare RDC,12,Mwandiambira Primary School,7500MTR1202,2,357,3,2,1,2,1,6,0,0,0,0,1,0,226,2,0,0,3,1,0,0,1,13,0,621,608
Mutare,Mutare North,Mutare RDC,12,Ngomasha Primary School,7500MTR1203,0,107,1,0,0,0,1,1,0,0,2,0,0,0,158,1,0,0,3,2,0,0,0,3,0,279,276
Mutare,Mutare North,Mutare RDC,12,Shundure Primary School,7500MTR1204,3,237,3,0,0,1,1,5,0,0,0,0,1,0,290,2,0,1,3,3,1,1,1,5,0,558,553
Mutare,Mutare North,Mutare RDC,12,Zarawa Primary School,7500MTR1205,2,222,1,0,0,1,0,4,0,0,0,1,0,0,270,0,1,0,1,1,0,1,0,4,0,509,505
Mutare,Mutare North,Mutare RDC,12,Chadambuka Business Centre Tent,7500MTR1207,5,109,0,0,0,0,1,2,0,1,0,0,0,1,182,0,0,0,0,0,1,0,0,6,0,308,302
,,,,5  POLLING STATIONS,WARD TOTAL,12,1032,8,2,1,4,4,18,0,1,2,1,2,1,1126,5,1,1,10,7,2,2,2,31,0,2275,2244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare North,Mutare RDC,31,Odzi Primary School A,7500MTR3102 A,3,283,0,1,0,0,0,1,0,0,0,0,0,0,198,3,0,1,0,1,0,0,0,5,0,496,491
Mutare,Mutare North,Mutare RDC,31,Odzi Primary School B,7500MTR3102 B,0,275,0,0,0,1,0,5,1,0,0,1,0,1,204,0,0,0,0,0,0,0,0,1,0,489,488
Mutare,Mutare North,Mutare RDC,31,Odzi Business Centre Tent,7500MTR3103,2,242,0,0,0,1,0,1,1,0,0,0,0,0,210,1,0,0,0,0,0,0,0,2,0,460,458
,,,,3  POLLING STATIONS,WARD TOTAL,5,800,0,1,0,2,0,7,2,0,0,1,0,1,612,4,0,1,0,1,0,0,0,8,0,1445,1437
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare North,Mutare RDC,34,Chinota Primary School A,7500MTR3401 A,6,167,6,0,1,2,0,5,0,0,0,3,0,1,434,1,1,3,0,3,1,2,1,14,0,651,637
Mutare,Mutare North,Mutare RDC,34,Chinota Primary School B,7500MTR3401 B,6,151,1,0,1,0,3,7,1,0,0,1,1,1,463,3,3,0,1,2,1,2,2,13,0,663,650
Mutare,Mutare North,Mutare RDC,34,Chiwere Primary School,7500MTR3402,6,245,3,1,0,3,0,8,1,0,2,1,1,1,491,2,1,0,1,2,0,1,0,14,0,784,770
Mutare,Mutare North,Mutare RDC,34,Hamamaoko Primary School,7500MTR3403,1,96,1,0,0,0,1,3,1,2,0,0,0,0,276,0,0,0,1,1,0,0,0,12,0,395,383
Mutare,Mutare North,Mutare RDC,34,Kushinga Primary School,7500MTR3404,8,166,9,0,0,2,1,6,0,0,0,0,1,1,584,0,0,0,3,1,1,0,1,6,0,790,784
Mutare,Mutare North,Mutare RDC,34,Mapor Primary School,7500MTR3405,4,123,0,0,1,0,1,7,1,0,0,0,0,0,234,1,1,0,2,0,0,0,1,10,0,386,376
Mutare,Mutare North,Mutare RDC,34,Mhangaurwe Primary School,7500MTR3406,4,127,0,0,0,5,2,5,0,0,0,0,0,0,521,5,0,0,1,0,0,0,0,3,0,673,670
Mutare,Mutare North,Mutare RDC,34,Nyagundi Primary School,7500MTR3407,2,157,0,1,0,0,1,4,0,1,1,0,1,0,349,1,1,0,1,2,0,3,0,8,0,533,525
Mutare,Mutare North,Mutare RDC,34,Zvavanhu Primary School,7500MTR3408,4,244,0,0,1,1,2,1,0,0,0,1,0,0,268,1,1,1,1,0,1,2,0,9,0,538,529
,,,,9 POLLING STATIONS,WARD TOTAL,41,1476,20,2,4,13,11,46,4,3,3,6,4,4,3620,14,8,4,11,11,4,10,5,89,0,5413,5324
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare North,Mutare RDC,35,Kuhudzai Primary School A,7500MTR3501 A,1,323,1,1,1,2,9,8,0,1,0,0,0,0,171,1,1,0,1,0,0,0,0,7,0,528,521
Mutare,Mutare North,Mutare RDC,35,Kuhudzai Primary School B,7500MTR3501 B,3,328,4,0,2,0,7,8,0,1,0,0,0,0,170,3,1,1,0,0,1,2,0,9,0,540,531
Mutare,Mutare North,Mutare RDC,35,Madziro 2 Business Centre Tent,7500MTR3502,3,275,3,0,0,1,8,4,0,1,0,0,0,0,166,4,0,0,0,0,0,1,4,3,0,473,470
Mutare,Mutare North,Mutare RDC,35,MhandambirI Primary School,7500MTR3503,2,132,0,0,0,1,0,3,0,0,0,0,0,0,91,1,0,0,2,1,0,0,0,4,0,237,233
Mutare,Mutare North,Mutare RDC,35,Mutukwa Primary School,7500MTR3504,3,153,1,0,0,0,1,7,0,0,0,0,0,0,150,1,0,0,1,0,0,0,0,2,0,319,317
,,,,5  POLLING STATIONS,WARD TOTAL,12,1211,9,1,3,4,25,30,0,3,0,0,0,0,748,10,2,1,4,1,1,3,4,25,0,2097,2072
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,                MUTARE NORTH CONSTITUENCY TOTALS,,,174,12014,97,17,27,86,101,286,15,17,12,16,13,28,18999,99,35,46,71,73,30,41,45,538,1,32880,32342
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare South,Mutare RDC,6,Gombakomba Primary School A,7500MTR0601 A,1,363,1,0,0,2,1,5,1,0,0,0,0,1,180,3,0,2,1,0,2,1,0,11,0,575,564
Mutare,Mutare South,Mutare RDC,6,Gombakomba Primary School B,7500MTR0601 B,1,333,1,1,0,1,0,16,1,0,0,1,0,0,200,5,1,0,0,1,2,0,0,3,0,567,564
Mutare,Mutare South,Mutare RDC,6,Mafuke Hall A,7500MTR0602 A,6,278,2,0,0,0,1,2,1,0,1,0,0,0,217,2,0,1,0,2,0,0,0,8,0,521,513
Mutare,Mutare South,Mutare RDC,6,Mafuke Hall B,7500MTR0602 B,1,310,3,0,0,0,1,4,0,1,0,0,1,1,177,2,0,1,1,0,1,0,0,7,0,511,504
Mutare,Mutare South,Mutare RDC,6,Samupindi Business Centre Tent,7500MTR0604,2,219,0,0,0,0,1,6,0,0,1,2,0,0,275,4,1,0,0,0,0,0,0,4,0,515,511
,,,,5  POLLING STATIONS,WARD TOTAL,11,1503,7,1,0,3,4,33,3,1,2,3,1,2,1049,16,2,4,2,3,5,1,0,33,0,2689,2656
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare South,Mutare RDC,7,Kaswa Primary School,7500MTR0701,5,85,4,1,0,3,1,1,0,0,0,0,3,0,497,1,0,0,2,0,1,0,1,7,0,612,605
Mutare,Mutare South,Mutare RDC,7,Mazonwe Secondary School,7500MTR0702,5,122,5,0,1,0,5,8,1,0,4,1,1,4,399,0,1,0,1,1,2,1,3,11,0,576,565
Mutare,Mutare South,Mutare RDC,7,Nahoon Estate Tent,7500MTR0703,4,218,2,0,0,3,2,5,0,1,0,0,0,0,128,2,0,0,0,2,0,0,0,7,0,374,367
Mutare,Mutare South,Mutare RDC,7,St Michaels Matura Primary School,7500MTR0704,5,106,2,2,1,1,2,2,1,0,0,2,3,1,108,0,0,0,0,3,1,1,2,5,0,248,243
,,,,4  POLLING STATIONS,WARD TOTAL,19,531,13,3,2,7,10,16,2,1,4,3,7,5,1132,3,1,0,3,6,4,2,6,30,0,1810,1780
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare South,Mutare RDC,13,Chigombwe Primary School,7500MTR1301,0,115,0,0,1,1,1,2,0,0,0,0,0,0,207,2,0,2,0,0,0,0,2,6,0,339,333
Mutare,Mutare South,Mutare RDC,13,Gwese Primary School,7500MTR1302,1,336,6,0,1,2,3,10,1,0,0,0,0,1,219,3,1,2,0,0,0,2,1,19,0,608,589
Mutare,Mutare South,Mutare RDC,13,Kamutanho Primary School,7500MTR1303,0,144,1,0,1,0,0,2,1,1,0,0,0,1,152,2,0,1,0,0,0,0,0,8,0,314,306
Mutare,Mutare South,Mutare RDC,13,Temberere Dip Tank Tent,7500MTR1304,1,233,3,0,0,0,0,10,0,1,1,0,2,1,316,3,0,2,0,1,0,1,2,9,0,586,577
,,,,4  POLLING STATIONS,WARD TOTAL,2,828,10,0,3,3,4,24,2,2,1,0,2,3,894,10,1,7,0,1,0,3,5,42,0,1847,1805
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare South,Mutare RDC,14,18 Miles Tent,7500MTR1401,1,204,0,0,0,2,0,8,0,0,0,0,0,0,110,2,0,1,0,1,1,0,0,2,0,332,330
Mutare,Mutare South,Mutare RDC,14,Mt Gandai Primary School,7500MTR1403,4,187,5,1,0,2,0,6,0,0,0,0,0,1,279,3,0,2,0,1,2,0,1,4,0,498,494
Mutare,Mutare South,Mutare RDC,14,Murare Primary School,7500MTR1404,1,102,1,1,0,0,0,0,0,0,0,0,0,0,86,3,1,1,0,0,0,1,0,4,0,201,197
Mutare,Mutare South,Mutare RDC,14,Rowa Primary School,7500MTR1405,4,291,3,0,1,1,0,5,0,0,0,1,0,0,226,2,2,0,1,0,1,0,0,7,0,545,538
,,,,4  POLLING STATIONS,WARD TOTAL,10,784,9,2,1,5,0,19,0,0,0,1,0,1,701,10,3,4,1,2,4,1,1,17,0,1576,1559
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare South,Mutare RDC,15,Chishakwe Primary School A,7500MTR1501 A,9,369,5,2,1,2,5,6,0,2,0,2,0,0,287,8,0,2,2,3,3,0,1,16,0,725,709
Mutare,Mutare South,Mutare RDC,15,Chishakwe Primary School B,7500MTR1501 B,8,378,6,0,2,4,1,10,1,3,0,0,0,0,254,4,0,3,1,3,1,3,2,15,1,699,684
Mutare,Mutare South,Mutare RDC,15,Chitakatira Business Centre Tent A,7500MTR1502 A,0,366,0,0,0,1,1,8,0,0,0,0,0,0,152,2,0,0,1,0,0,0,0,10,0,541,531
Mutare,Mutare South,Mutare RDC,15,Chitakatira Business Centre Tent B,7500MTR1502 B,5,345,2,0,0,4,4,3,1,0,0,0,0,3,150,2,0,2,1,0,0,0,2,5,0,529,524
Mutare,Mutare South,Mutare RDC,15,Chitakatira Business Centre Tent C,7500MTR1502 C,4,352,3,0,1,2,4,10,1,1,0,1,0,0,146,4,2,1,1,1,0,1,0,8,0,543,535
Mutare,Mutare South,Mutare RDC,15,Chitakatira Primary School A,7500MTR1503 A,2,322,1,1,0,2,0,6,0,1,0,0,0,0,131,5,0,0,3,0,0,0,0,5,0,479,474
Mutare,Mutare South,Mutare RDC,15,Chitakatira Primary School B,7500MTR1503 B,1,316,0,2,0,1,1,9,0,1,0,0,0,0,105,3,0,0,3,0,1,2,0,9,0,454,445
Mutare,Mutare South,Mutare RDC,15,Muduma Business Centre Tent A,7500MTR1504 A,2,541,3,0,1,2,3,10,1,1,0,0,0,1,164,6,0,0,0,1,1,1,1,23,0,762,739
Mutare,Mutare South,Mutare RDC,15,Muduma Business Centre Tent B,7500MTR1504 B,3,559,1,0,0,2,0,20,1,1,0,0,0,0,162,5,2,0,0,0,1,1,1,13,0,772,759
,,,,9  POLLING STATIONS,WARD TOTAL,34,3548,21,5,5,20,19,82,5,10,0,3,0,4,1551,39,4,8,12,8,7,8,7,104,1,5504,5400
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare South,Mutare RDC,20,Chiefs Hall,7500MTR2001,3,161,0,1,0,2,0,4,0,0,0,0,0,0,211,0,0,0,0,1,0,0,0,2,0,385,383
Mutare,Mutare South,Mutare RDC,20,Munyarari Primary School,7500MTR2002,6,265,5,0,0,0,3,7,0,1,0,0,1,1,325,3,0,1,0,2,1,1,1,11,0,634,623
Mutare,Mutare South,Mutare RDC,20,Musabayana Primary School,7500MTR2003,0,158,1,1,0,1,0,2,0,0,0,0,0,0,191,1,0,2,1,0,1,0,0,3,0,362,359
Mutare,Mutare South,Mutare RDC,20,Mwadewekunze Primary School,7500MTR2004,8,284,3,0,1,5,2,10,0,1,1,0,0,0,344,3,0,2,0,1,0,1,1,8,0,675,667
,,,,4  POLLING STATIONS,WARD TOTAL,17,868,9,2,1,8,5,23,0,2,1,0,1,1,1071,7,0,5,1,4,2,2,2,24,0,2056,2032
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare South,Mutare RDC,21,Chikwira Business Centre Tent,7500MTR2101,0,178,1,0,0,3,1,1,0,1,0,0,0,0,176,1,0,0,0,1,1,0,1,7,0,372,365
Mutare,Mutare South,Mutare RDC,21,Chitora Primary School,7500MTR2102,0,162,1,0,0,5,2,4,0,0,0,0,0,1,260,1,1,0,0,0,0,0,0,10,0,447,437
Mutare,Mutare South,Mutare RDC,21,Mambwere Primary School,7500MTR2103,1,84,0,1,1,3,4,3,0,0,0,0,0,0,226,0,0,0,1,0,0,0,1,12,0,337,325
Mutare,Mutare South,Mutare RDC,21,Mukwindidza Business Centre Tent,7500MTR2104,1,81,0,0,0,0,1,3,0,0,0,0,0,0,133,4,0,0,0,0,0,0,0,8,0,231,223
